feature_group,model_name,fold,accuracy,precision,recall,f1_score
lexical,LogisticRegression,1,0.5871313672922251,0.5930232558139535,0.5483870967741935,0.5698324022346368
lexical,LogisticRegression,2,0.6112600536193029,0.6257668711656442,0.5483870967741935,0.5845272206303725
lexical,LogisticRegression,3,0.4959785522788204,0.49707602339181284,0.45454545454545453,0.4748603351955307
lexical,LogisticRegression,4,0.5120643431635389,0.5133689839572193,0.5133689839572193,0.5133689839572193
lexical,LogisticRegression,5,0.5376344086021505,0.5384615384615384,0.5268817204301075,0.532608695652174
lexical,LinearSVC,1,0.5898123324396782,0.5964912280701754,0.5483870967741935,0.5714285714285714
lexical,LinearSVC,2,0.6166219839142091,0.6319018404907976,0.553763440860215,0.5902578796561605
lexical,LinearSVC,3,0.49865951742627346,0.5,0.45454545454545453,0.47619047619047616
lexical,LinearSVC,4,0.5120643431635389,0.5133689839572193,0.5133689839572193,0.5133689839572193
lexical,LinearSVC,5,0.5376344086021505,0.5384615384615384,0.5268817204301075,0.532608695652174
lexical,RandomForest,1,0.5924932975871313,0.5867346938775511,0.6182795698924731,0.6020942408376964
lexical,RandomForest,2,0.5737265415549598,0.5780346820809249,0.5376344086021505,0.5571030640668524
lexical,RandomForest,3,0.5442359249329759,0.5480225988700564,0.5187165775401069,0.532967032967033
lexical,RandomForest,4,0.5495978552278821,0.5497382198952879,0.5614973262032086,0.5555555555555556
lexical,RandomForest,5,0.5672043010752689,0.5634517766497462,0.5967741935483871,0.5796344647519582
lexical,ComplementNB,1,,,,
lexical,ComplementNB,2,,,,
lexical,ComplementNB,3,,,,
lexical,ComplementNB,4,,,,
lexical,ComplementNB,5,,,,
lexical,XGBoost,1,0.5924932975871313,0.5885416666666666,0.6075268817204301,0.5978835978835979
lexical,XGBoost,2,0.5817694369973191,0.5797872340425532,0.5860215053763441,0.5828877005347594
lexical,XGBoost,3,0.5737265415549598,0.5864197530864198,0.5080213903743316,0.5444126074498568
lexical,XGBoost,4,0.5817694369973191,0.5803108808290155,0.5989304812834224,0.5894736842105263
lexical,XGBoost,5,0.5672043010752689,0.5641025641025641,0.5913978494623656,0.5774278215223098
lexical,SVC_RBF,1,0.5683646112600537,0.5757575757575758,0.510752688172043,0.5413105413105413
lexical,SVC_RBF,2,0.5737265415549598,0.5754189944134078,0.553763440860215,0.5643835616438356
lexical,SVC_RBF,3,0.5093833780160858,0.5106382978723404,0.5133689839572193,0.512
lexical,SVC_RBF,4,0.514745308310992,0.5230769230769231,0.36363636363636365,0.42902208201892744
lexical,SVC_RBF,5,0.543010752688172,0.5533333333333333,0.44623655913978494,0.49404761904761907
syntactic,CNN_Syntactic_Model,1,0.646112600536193,0.6298076923076923,0.7043010752688172,0.6649746192893401
syntactic,CNN_Syntactic_Model,2,0.5844504021447721,0.5676855895196506,0.6989247311827957,0.6265060240963856
syntactic,CNN_Syntactic_Model,3,0.579088471849866,0.5707547169811321,0.6470588235294118,0.606516290726817
syntactic,CNN_Syntactic_Model,4,0.4906166219839142,0.4944237918215613,0.7112299465240641,0.5833333333333334
syntactic,CNN_Syntactic_Model,5,0.5376344086021505,0.6129032258064516,0.20430107526881722,0.3064516129032258
semantic,Dense_Semantic_Model,1,0.9624664879356568,0.9623655913978495,0.9623655913978495,0.9623655913978495
semantic,Dense_Semantic_Model,2,0.9731903485254692,0.9680851063829787,0.978494623655914,0.9732620320855615
semantic,Dense_Semantic_Model,3,0.9758713136729222,0.9836956521739131,0.9679144385026738,0.9757412398921833
semantic,Dense_Semantic_Model,4,0.9758713136729222,0.973404255319149,0.9786096256684492,0.976
semantic,Dense_Semantic_Model,5,0.9650537634408602,0.9675675675675676,0.9623655913978495,0.9649595687331537
tfidf_sparse,LogisticRegression,1,0.517426273458445,0.5135135135135135,0.6129032258064516,0.5588235294117647
tfidf_sparse,LogisticRegression,2,0.5093833780160858,0.5095541401273885,0.43010752688172044,0.46647230320699706
tfidf_sparse,LogisticRegression,3,0.4959785522788204,0.49645390070921985,0.37433155080213903,0.4268292682926829
tfidf_sparse,LogisticRegression,4,0.47989276139410186,0.475177304964539,0.3582887700534759,0.40853658536585363
tfidf_sparse,LogisticRegression,5,0.5188172043010753,0.5241379310344828,0.40860215053763443,0.459214501510574
tfidf_sparse,LinearSVC,1,0.5227882037533512,0.5173913043478261,0.6397849462365591,0.5721153846153846
tfidf_sparse,LinearSVC,2,0.5067024128686327,0.5059523809523809,0.45698924731182794,0.480225988700565
tfidf_sparse,LinearSVC,3,0.5067024128686327,0.5103448275862069,0.39572192513368987,0.4457831325301205
tfidf_sparse,LinearSVC,4,0.4718498659517426,0.4657534246575342,0.36363636363636365,0.4084084084084084
tfidf_sparse,LinearSVC,5,0.478494623655914,0.4826086956521739,0.5967741935483871,0.5336538461538461
tfidf_sparse,RandomForest,1,0.5254691689008043,0.5185185185185185,0.6774193548387096,0.5874125874125874
tfidf_sparse,RandomForest,2,0.514745308310992,0.5110132158590308,0.6236559139784946,0.5617433414043583
tfidf_sparse,RandomForest,3,0.5067024128686327,0.5118110236220472,0.34759358288770054,0.4140127388535032
tfidf_sparse,RandomForest,4,0.4879356568364611,0.48412698412698413,0.32620320855614976,0.38977635782747605
tfidf_sparse,RandomForest,5,0.5,0.5,0.6129032258064516,0.5507246376811594
tfidf_sparse,ComplementNB,1,0.5388739946380697,0.55,0.41397849462365593,0.4723926380368098
tfidf_sparse,ComplementNB,2,0.5067024128686327,0.5063291139240507,0.43010752688172044,0.46511627906976744
tfidf_sparse,ComplementNB,3,0.5013404825737265,0.5031847133757962,0.42245989304812837,0.45930232558139533
tfidf_sparse,ComplementNB,4,0.5013404825737265,0.5033112582781457,0.40641711229946526,0.44970414201183434
tfidf_sparse,ComplementNB,5,0.4946236559139785,0.4928571428571429,0.3709677419354839,0.4233128834355828
tfidf_sparse,XGBoost,1,0.5093833780160858,0.5151515151515151,0.27419354838709675,0.35789473684210527
tfidf_sparse,XGBoost,2,0.4932975871313673,0.4945054945054945,0.7258064516129032,0.5882352941176471
tfidf_sparse,XGBoost,3,0.49865951742627346,0.5,0.27807486631016043,0.35738831615120276
tfidf_sparse,XGBoost,4,0.49865951742627346,0.5,0.27807486631016043,0.35738831615120276
tfidf_sparse,XGBoost,5,0.5241935483870968,0.5445544554455446,0.2956989247311828,0.3832752613240418
tfidf_dense,LogisticRegression,1,0.774798927613941,0.7428571428571429,0.8387096774193549,0.7878787878787878
tfidf_dense,LogisticRegression,2,0.8176943699731903,0.7657657657657657,0.9139784946236559,0.8333333333333334
tfidf_dense,LogisticRegression,3,0.8230563002680965,0.7951219512195122,0.8716577540106952,0.8316326530612245
tfidf_dense,LogisticRegression,4,0.8016085790884718,0.7783251231527094,0.8449197860962567,0.8102564102564103
tfidf_dense,LogisticRegression,5,0.8064516129032258,0.7794117647058824,0.8548387096774194,0.8153846153846154
tfidf_dense,LinearSVC,1,0.7801608579088471,0.7452830188679245,0.8494623655913979,0.7939698492462312
tfidf_dense,LinearSVC,2,0.8257372654155496,0.7713004484304933,0.9247311827956989,0.8410757946210269
tfidf_dense,LinearSVC,3,0.8310991957104558,0.803921568627451,0.8770053475935828,0.8388746803069054
tfidf_dense,LinearSVC,4,0.8042895442359249,0.7821782178217822,0.8449197860962567,0.8123393316195373
tfidf_dense,LinearSVC,5,0.803763440860215,0.7729468599033816,0.8602150537634409,0.8142493638676844
tfidf_dense,RandomForest,1,0.7479892761394102,0.7110091743119266,0.8333333333333334,0.7673267326732673
tfidf_dense,RandomForest,2,0.7828418230563002,0.7375565610859729,0.8763440860215054,0.800982800982801
tfidf_dense,RandomForest,3,0.8096514745308311,0.7843137254901961,0.8556149732620321,0.8184143222506394
tfidf_dense,RandomForest,4,0.7560321715817694,0.7526315789473684,0.7647058823529411,0.7586206896551724
tfidf_dense,RandomForest,5,0.793010752688172,0.7607655502392344,0.8548387096774194,0.8050632911392405
tfidf_dense,ComplementNB,1,,,,
tfidf_dense,ComplementNB,2,,,,
tfidf_dense,ComplementNB,3,,,,
tfidf_dense,ComplementNB,4,,,,
tfidf_dense,ComplementNB,5,,,,
tfidf_dense,XGBoost,1,0.646112600536193,0.6088709677419355,0.8118279569892473,0.695852534562212
tfidf_dense,XGBoost,2,0.6353887399463807,0.5961538461538461,0.8333333333333334,0.695067264573991
tfidf_dense,XGBoost,3,0.6916890080428955,0.6463414634146342,0.8502673796791443,0.7344110854503464
tfidf_dense,XGBoost,4,0.6541554959785523,0.6208333333333333,0.7967914438502673,0.6978922716627635
tfidf_dense,XGBoost,5,0.6666666666666666,0.62109375,0.8548387096774194,0.7194570135746606
